,HLA-DRA,FOS,HLA-DPA1,DUSP1,GZMA,CCL4,SELL,CD69,NKG7,CST7,LTB,CD74,GZMK,CCL4L1,CCL4L2,CD8A,PRF1,KLRK1,TSC22D3,PIK3IP1,group
cy72-CD45-pos-F07-S931-comb,0.0,7.6874,0.0,8.2075,0.0,0.0,5.175,6.3277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.471,5.9435,1.0
cy53-1-CD45-pos-1-E06-S54-comb,0.0,9.4114,6.9832,8.6656,7.2409,0.0,0.0,3.4865,0.0,5.0182,0.0,6.1457,6.6977,0.0,0.0,0.0,0.0,0.0,8.4161,0.0,1.0
cy58-1-CD45-pos-D06-S618-comb,0.0,8.4399,0.0,8.5484,8.7569,6.9149,6.2582,8.4218,8.2753,7.0941,0.0,6.0173,0.0,0.0,0.0,5.7589,8.485,8.5522,9.0851,0.0,1.0
cy80-CD45-pos-PD1-pos-E04-S148-comb,0.0,0.0,0.0,4.9001,0.0,0.0,1.0697,4.0041,0.0,5.5531,0.0,6.3922,0.0,0.0,0.0,0.0,0.0,0.0,6.7606,5.1642,1.0
cy72-CD45-pos-A06-S870-comb,0.0,9.822000000000001,0.0,6.0416,0.0,0.0,6.7893,7.9532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.797,7.5001,1.0
cy74-CD45-pos-G03-S747-comb,6.5794,0.0,6.3711,7.7954,7.0593,7.1569,0.0,6.6974,7.3499,8.0025,0.0,7.0181,8.6352,1.9815,1.9815,8.488,8.1509,7.0858,8.1319,5.9308,1.0
cy53-1-CD45-neg-D12-S336-comb,3.7593,11.386,5.1979999999999995,10.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8352,1.0
cy53-1-CD45-pos-2-B03-S975-comb,11.002,5.2249,9.357000000000001,9.5728,0.0,4.162,0.0,0.0,0.0,0.0,0.0,10.833,0.0,0.70841,0.70841,0.0,0.0,0.0,0.0,0.0,1.0
cy72-CD45-pos-C02-S890-comb,0.0,0.0,0.0,0.0,0.0,0.0,8.5739,0.0,0.0,0.0,5.6163,5.5597,0.0,0.0,0.0,0.0,0.0,0.0,7.8333,7.5242,1.0
cy72-CD45-pos-E01-S913-comb,1.3623,7.2708,0.0,4.0398,0.0,0.0,0.0,7.5935,0.0,7.7989,0.0,7.1977,7.7374,0.0,0.0,0.0,0.0,0.0,8.9484,7.4999,1.0
cy53-1-CD45-pos-1-B11-S23-comb,0.0,9.0426,0.0,7.9262,0.0,0.0,7.2856,0.0,0.0,0.0,6.2291,5.3192,0.0,0.0,0.0,0.0,0.87421,0.0,8.386000000000001,5.2232,1.0
cy74-CD45-pos-B04-S688-comb,0.0,7.6177,0.0,7.8313,7.9846,9.1651,0.0,8.6875,9.0167,7.8331,0.0,9.031,8.3051,3.8789,3.8789,7.6499,6.311,7.2077,9.7784,0.0,1.0
cy72-CD45-pos-E07-S919-comb,1.569,8.5757,0.0,7.1052,0.0,0.0,5.0137,7.8676,0.0,0.0,5.6217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.612,3.3671,1.0
cy72-CD45-pos-H10-S958-comb,2.0409,5.9924,0.0,4.6947,0.0,0.0,5.4422,6.5979,0.0,0.0,0.0,4.1651,0.0,0.0,0.0,6.194,0.0,6.3254,8.026,5.0024,1.0
cy58-1-CD45-pos-B02-S590-comb,0.0,10.53,0.0,5.857,0.0,0.0,2.9086,7.5245,0.0,0.0,5.8955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1235,5.4609,1.0
cy72-CD45-pos-A08-S872-comb,0.0,9.642000000000001,0.0,8.638,0.0,0.0,7.8817,6.265,0.0,5.631,5.2305,6.8714,0.0,0.0,0.0,0.0,0.0,0.0,8.5283,7.6432,1.0
cy72-CD45-pos-G03-S939-comb,0.94711,8.3838,0.0,5.3719,0.0,8.3537,6.6348,7.421,9.0304,6.3551,0.0,6.1868,5.4982,3.0687,3.0687,0.0,8.5278,2.2268,8.463,6.3193,1.0
cy72-CD45-pos-F08-S932-comb,9.1338,8.7651,7.7868,8.3597,0.0,0.0,5.95,8.2417,0.0,0.0,0.0,10.068,0.0,0.0,0.0,0.0,0.0,0.0,9.5667,3.7688,1.0
cy74-CD45-pos-C05-S701-comb,0.0,8.7656,4.6622,9.1083,7.3905,7.8294,0.0,7.3181,0.0,5.547000000000001,0.0,4.2795,7.1508,3.8858,3.8858,7.7816,0.0,6.8177,9.7566,0.0,1.0
cy53-1-CD45-neg-A03-S291-comb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8899,1.0
cy58-1-CD45-pos-A07-S583-comb,8.0764,7.5742,0.0,0.0,9.2829,6.9639999999999995,0.0,5.8144,9.5889,8.0646,0.0,8.6083,7.8499,1.6731,1.6731,8.9553,3.8286,5.0203,8.3223,0.0,1.0
cy74-CD45-pos-A09-S681-comb,6.5274,0.0,5.2777,2.8478,8.258,8.7266,0.0,6.6857,9.0817,6.6832,0.0,5.81,7.6781,6.7162,6.7162,6.9924,7.1178,6.9662,8.2499,0.0,1.0
cy74-CD45-pos-D02-S710-comb,9.229,1.1686,7.6381,7.0572,7.3415,11.206,0.0,6.8259,8.9738,7.8049,6.0382,9.8051,9.648,9.6677,9.6677,7.4826,4.7755,5.346,4.0544,0.0,1.0
cy72-CD45-pos-E08-S920-comb,0.0,6.3616,0.0,0.0,5.8272,0.0,6.6779,6.6905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2354,1.0
cy80-CD45-pos-PD1-pos-F05-S161-comb,6.4307,6.6552,4.0313,0.0,7.9622,0.0,4.5987,5.8952,6.5117,5.1339999999999995,5.9349,7.6714,8.5243,0.0,0.0,8.1465,6.5659,6.3635,7.6764,0.0,1.0
cy53-1-CD45-neg-E02-S338-comb,6.6912,7.7465,6.6067,8.506,0.0,0.0,4.6962,0.0,0.0,0.0,0.0,7.3789,0.0,0.0,0.0,0.0,0.0,0.0,3.7066,0.0,1.0
cy72-CD45-pos-H01-S949-comb,0.0,8.513,0.0,0.98331,6.2104,0.0,5.0487,7.1094,0.0,5.53,5.6647,3.7192,0.0,0.0,0.0,0.0,0.0,0.0,9.3905,7.0836,1.0
cy80-CD45-pos-PD1-pos-G01-S169-comb,0.0,0.0,6.531000000000001,0.0,7.1957,7.1211,0.0,5.5958,6.3906,5.6807,0.0,6.2887,6.4835,0.0,0.0,0.0,0.0,0.0,7.6801,0.0,1.0
cy80-CD45-pos-PD1-pos-B11-S119-comb,6.8677,3.1868,4.7122,0.0,8.889,9.0022,0.0,7.6899,8.3756,5.4685,0.0,8.2316,7.0912,4.4271,4.4271,0.0,5.7107,6.5291,7.0791,5.6882,1.0
cy74-CD45-pos-F12-S744-comb,0.0,0.0,7.44,8.3947,8.4217,6.9103,0.0,0.0,9.3398,7.0794,0.0,6.9736,8.3461,0.0,0.0,7.8533,7.4718,0.0,6.6186,0.0,1.0
cy80-CD45-pos-PD1-pos-D12-S144-comb,1.301,6.6628,5.2656,4.5113,6.8975,9.0013,0.0,5.8425,9.5956,7.994,0.0,8.4097,7.1041,5.827999999999999,5.827999999999999,4.3226,7.2562,8.6127,7.1355,0.0,1.0
