,MGP,SCGB2A2,PIP,MUCL1,GSTP1,HLA-DRA,CD74,APOD,TFF3,IFITM2,LDHB,SLPI,PPP1R1B,RN7SL56P,PPP1R14C,S100P,TFF1,AGR2,SEPP1,TM4SF1,group
BC07_31,2.119863456,0.0,0.0,7.20473648,6.828192456,6.563262967000001,6.330237706,2.638342789,0.0,4.705286977,7.275345435,4.12826278,0.936093359,5.448976243,0.0,3.3860837439999996,0.0,3.8059956010000002,1.5953389880000002,7.008550389,0.0
BC07_35,1.217875709,8.211846684,2.660259537,8.219972437000001,6.1956291320000005,2.032087845,2.951257783,0.5007752879999999,0.0,0.815364813,0.727548607,8.582945351000001,2.0831845280000003,3.656097965,0.0,4.177306083,0.0,7.432909753,4.778787302,5.8346060379999996,0.0
BC07_36,2.692598097,0.0,0.0,1.2753628000000001,4.257030144,2.12704052,2.350422422,0.0,7.295266849,0.0,6.077802781,0.0,3.1986731180000003,5.250701513,0.0,0.0,0.0,5.601565162000001,3.173041289,5.649220687000001,0.0
BC07_38,1.313723668,3.9043939780000003,2.733067964,5.626829432999999,6.34125837,6.735459297999999,6.651145426,0.0,3.0204248860000003,4.740138046,5.9990854339999995,7.038134208,2.9580304060000002,6.106488224,0.0,5.233938833,0.0,3.416414347,0.8109302159999999,5.690832315,0.0
BC07_39,2.05796251,0.0,4.018542849,8.456857028,7.8534688820000005,6.910611197000001,6.504258233,1.791759469,3.922567219,4.597339606999999,6.312152145,7.303116178,2.941276088,6.71489842,0.0,5.0136972680000005,0.0,7.299709525,5.313846168,8.02975852,0.0
BC07_43,2.063058062,9.578265594,5.979670267,5.799032047000001,7.619213779,4.479833695,4.656528478,1.16315081,0.0,4.664853188,1.342864803,6.980736188,0.0,5.846929984,0.0,5.5772739829999995,0.0,7.121688546000001,1.6174060819999998,6.055964005,0.0
BC07_57,0.0,9.077372249,0.0,6.670183134,5.01349786,7.259228718999999,6.629482137,0.0,0.0,5.341759924,3.318902139,6.018252523999999,1.6524974019999998,6.674763392000001,0.0,6.521783927,0.0,5.280306134,0.0,8.613028688,0.0
BC07_59,7.690400326000001,4.258021155,0.0,8.462001783,6.919486202000001,2.362739016,6.43695133,7.074599342000001,3.6866269189999996,0.854415328,3.941581808,7.443488126,2.1412419430000003,0.0,0.0,0.0,0.0,6.471495856000001,6.286351849,1.223775432,0.0
BC07_65,0.0,7.408978951,0.0,8.22300198,7.2982218020000005,1.896119485,2.242835089,4.492225427,5.5159256260000005,0.0,0.0,6.408907632000001,4.75643098,6.41656887,0.0,0.0,0.0,6.685323974,0.7654678420000001,8.573359891,0.0
BC07_66,0.0,0.0,0.0,8.016100052999999,7.311238424,7.073295141,6.975909132000001,0.0,5.0641128680000005,3.736240025,4.173309767,6.957953975,5.008633291000001,5.27110032,2.8231630080000003,0.0,0.0,0.774727168,1.205970807,5.674868463999999,0.0
BC07_67,0.924258902,8.549087129,4.550819591000001,6.862496373,5.119848379,6.086865632,7.109993836,4.80851911,0.0,1.08180517,1.316408234,5.249232159,4.246063717,6.0641572329999995,0.0,6.418658531,0.0,6.935078575,5.916229016,8.202663252,0.0
BC07_72,0.0,0.0,0.0,0.0,6.239729887,6.661726855,1.83736998,0.0,0.0,0.0,2.513656063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.290486787,1.272565596,0.0
BC07_73,0.0,0.0,1.4793292269999998,5.4819297570000005,0.806475866,3.683112859,5.663862851,1.105256831,0.0,0.0,1.591273942,4.849292144,0.39877612,7.50201539,0.0,0.0,0.0,5.436861176,2.276241118,3.738859386,0.0
BC07_75,0.652325186,1.7457155309999999,0.0,6.065852837,7.820997368,1.9459101490000001,2.2628042230000003,5.063290993,0.0,0.0,0.678033543,5.10491464,5.027164596,7.161296116,0.0,5.742939083,0.0,0.0,2.3617969530000003,8.114976801000001,0.0
BC07_78,0.0,6.570084324,6.706788984,8.787240176000001,7.152237532000001,1.335001067,2.613739522,7.417646466,0.0,2.360854001,0.553885113,8.425729006000001,6.161270611,5.552920824,0.0,3.670460869,0.0,6.960433114,2.742773637,5.829327897000001,0.0
BC07_87,0.357674444,5.208775518,0.0,8.562610053,5.129957885,6.828733716,7.025164912,0.7701082220000001,0.0,4.578723536,0.0,6.45590586,3.0483247239999995,4.376008562,0.0,0.0,0.0,5.761233438,0.0,5.879079417000001,0.0
BC07_89,0.0,8.804188528,2.54474665,7.81687637,7.711651928999999,4.645832168,5.490465484,5.586574274,2.292534757,4.964521545,3.292126287,6.489174536,3.516607233,5.997048925,0.0,5.249809662,0.0,6.297551211,0.0,4.053175285,0.0
BC07LN_02,0.0,1.141033005,0.0,6.865651213,7.715899395,7.26245327,7.493662401,5.822572411,2.583997552,0.0,3.6923733430000003,4.468433662,4.851639563,6.3873001060000005,0.0,3.924346755,0.0,5.752477396000001,6.160299737000001,6.200874219,0.0
BC07LN_06,1.6351056590000002,1.3711807230000002,0.0,8.797140427,8.041503023999999,6.275402118,6.613182856,7.441420091,2.240709689,5.007630785,5.556712225,5.031287234,4.844974178,5.546270597,0.0,6.25452088,0.0,6.182869723,0.0,6.329845675,0.0
BC07LN_13,0.0,0.0,0.0,9.441870259,8.016182576,7.0291052789999995,7.226085366,6.22356784,5.628951164,6.68250952,5.9106882370000005,6.408825287000001,5.217703663,6.587164266,0.0,4.332442405,5.612507476,5.540871311,4.9069770319999995,6.039849867,0.0
BC07LN_15,5.10800396,3.234355396,5.35010304,9.83227454,6.584763767999999,6.53811088,6.697466252999999,6.696515595,2.642622396,0.0,1.01884732,7.522010756,4.420165032,2.248128907,0.0,5.037991024,0.0,6.6103460510000005,4.137084716,3.809325607,0.0
BC07LN_23,1.190887565,0.0,0.916290732,7.635989641,7.268125387,1.105256831,4.618283825,5.0364329869999995,5.089323238,0.0,6.819623274,4.412677073999999,0.0,6.291161649,0.0,1.795087259,0.0,6.534907398,4.147411283,7.003419941000001,0.0
BC07LN_26,0.0,0.0,0.0,6.977645081,7.773636536000001,1.646733697,1.530394705,6.961561414,3.682609841,0.0,4.26745718,5.298217362,2.881443127,1.60743591,5.091354696000001,4.314684186,0.0,0.548121409,3.350254903,8.602318958,0.0
BC07LN_29,0.0,1.0784095809999998,0.0,9.224077583,8.084183182,1.960094784,1.4374626480000001,6.822219177000001,1.874874376,0.0,5.5710507620000005,3.772531027,6.350344558,0.0,0.0,3.360028105,0.0,4.598145571,2.285438934,7.295558666,0.0
BC07LN_30,1.047318994,0.0,0.0,9.067949276,7.808688688999999,9.514446577000001,9.086108462,6.037154673,5.561834812000001,0.698134722,2.501435952,3.833196225,2.351375257,2.9381031610000004,0.0,0.0,5.20466581,3.06105174,2.700689847,1.0577902940000001,0.0
BC07LN_31,0.0,0.0,6.109780774,7.484851673,6.720955711,8.112659649,8.14641063,5.100597868,0.0,5.206695377,4.279301532,8.021771647000001,1.6524974019999998,7.350387711000001,0.0,6.057626749,0.0,0.0,2.051556338,7.345332561,0.0
BC07LN_34,0.0,1.249901736,0.0,9.313975801,8.195650946,1.894616855,1.768149604,6.858985115,3.86220231,0.0,0.928219303,7.301532347,5.418054047999999,6.771843914,0.29266961399999997,0.0,0.0,0.0,5.932139081,5.852662144,0.0
BC07LN_35,0.9439058990000001,4.399252415,1.1216775620000001,8.902265097999999,6.191851111,2.05284086,2.145931283,5.7132706529999995,3.781458635,1.115141591,4.3162873930000005,7.0299021129999995,3.003700443,6.940396703999999,0.0,5.93935513,4.425205849,6.652540397,3.0832851710000004,7.6859970010000005,0.0
BC07LN_36,0.0,0.0,0.0,9.057426926,7.273612932000001,1.591273942,3.4824701019999997,7.000033595,0.0,2.614471854,0.0,6.482220108,3.9615747839999997,5.024603943,0.0,5.781206372000001,0.0,6.457350335,4.0664593589999996,6.2646546160000005,0.0
BC07LN_40,0.0,0.0,0.0,1.4883995840000002,7.42332961,8.470336357,8.536103264,6.788081707000001,0.0,0.0,6.798007375,5.05675523,0.0,6.1965459560000005,0.0,0.0,0.0,6.381189764,3.3700506530000003,7.746849582,0.0
BC07LN_41,0.0,0.0,0.0,7.518634361,6.53112541,6.883073166,7.471670382999999,5.629453965,0.0,2.803966258,0.0,5.004952511,5.88535375,6.800604272,0.0,6.148404191,0.0,4.023206534,5.243755579,7.746304986,0.0
BC07LN_42,0.703097511,0.0,0.0,7.899554145,7.87022706,1.615419984,1.45395301,5.6449167220000005,0.0,0.0,1.4883995840000002,5.661674932,0.165514438,0.0,0.0,0.0,0.0,0.620576488,5.234098793999999,7.262810912999999,0.0
BC07LN_51,1.637053079,6.688827827000001,5.125391531,8.284635465,7.636091016,7.7383879,7.241602645,5.62880746,0.0,5.2347916660000005,0.31481074,6.599775257,2.931193752,6.6818078,0.0,2.892591515,0.0,4.838501664,0.277631737,7.556271135,0.0
BC07LN_52,1.061256502,0.792992516,5.884575085,6.856240907999999,7.102902567,6.226892337000001,6.0390635260000005,5.9738350570000005,0.0,5.177053279,3.9748099939999997,7.25687576,0.29266961399999997,0.0,0.0,6.02729008,0.0,2.7447035189999998,4.529044796,7.797451491,0.0
BC07LN_57,0.837247525,0.431782416,0.0,6.414212771,7.82951105,7.797743102,8.125610278,6.554147056000001,1.4516138269999999,5.046452787,6.294416933,0.0,1.324418957,6.534689595,0.0,5.400016186,0.0,1.011600912,4.188290175,7.0435266610000005,0.0
BC07LN_60,0.6729444729999999,1.750937475,0.0,5.461753375,7.930504722999999,7.114281524,7.69406488,4.203497876,0.0,4.212127598,0.425267735,6.986677359,5.991514546,1.944480556,0.0,6.315936496,0.0,4.221270856,1.805004696,5.660283289,0.0
BC07LN_73,1.40854497,4.601764393,0.0,7.931661981,5.834430547999999,8.421021441,7.433843829,5.207626501,0.0,2.250238613,5.324277468,0.920282753,0.0,7.5808936110000005,0.0,3.161246712,0.0,3.168424281,1.004301609,4.533566767,0.0
BC07LN_75,0.0,0.0,0.0,7.486103093,7.146299627,8.597450645,8.042934121,1.111857515,1.677096561,5.9270326870000005,5.931077397,5.329040539,0.7466879470000001,7.3918713579999995,0.0,3.383372797,0.0,6.923559728,0.0,7.177744248,0.0
BC07LN_79,0.0,9.234938346,5.97044518,8.674202068,7.130146547000001,2.943912525,2.242835089,6.243972707,0.0,3.013080912,6.218839135,7.097292407,4.507888063,2.490723035,0.0,3.124565145,0.0,0.0,3.017493765,5.979037652000001,0.0
BC07LN_82,0.0,0.0,0.78845736,7.094541853,6.856146145,3.3181780260000004,4.693821884,5.169062531000001,3.072230245,3.7101515889999996,0.678033543,5.708471464,4.583026821,4.1358063519999995,0.0,6.811475628999999,0.0,0.512823626,0.0,0.722705983,0.0
BC07LN_86,0.0,5.417210896,0.0,8.056154061,8.860304767,7.219261294,7.845361219,5.492896821,2.366498419,0.875468737,3.63942657,0.703097511,0.0,6.39123011,0.0,6.688989631,0.0,3.8119816510000004,0.0,7.066304841,0.0
BC07LN_91,0.0,0.0,0.0,5.8949261129999995,6.854396695,7.104029048999999,6.956926322999999,6.585026171,0.0,3.057297629,5.132380839,1.17557333,2.9642416060000003,5.169403866000001,0.0,5.098279804,0.0,2.4965057859999997,5.289680173,8.05743767,0.0
BC07LN_95,0.0,4.417755682,0.0,8.768218022000001,6.450912662,7.379669582000001,7.700851861,4.844029593999999,3.232384175,4.1243886839999995,1.350667183,6.436871262,1.682688374,4.93562435,2.106570209,4.664570529,0.0,5.248338997,2.9470671019999997,7.172769874,0.0
BC03_09,8.237926279,0.732367894,0.0,0.0,1.768149604,1.463255402,1.736951233,6.497483637999999,3.036394255,6.29255014,0.0,0.0,0.0,0.0,0.0,5.327633421,6.106866974,0.0,5.602635293,5.252692188999999,0.0
BC03_11,8.217411547000001,0.0,6.76104022,0.0,6.533498098,2.308567165,1.6331544390000001,7.384095042,3.6485781569999998,5.558525462,1.280933845,0.0,1.011600912,0.0,0.0,6.449838311000001,7.558913117,6.028398995,4.812997033,3.1000922889999996,0.0
BC03_13,9.109907695,0.0,0.0,0.0,0.0,4.50335892,5.749934241,7.310222565,5.517814277,5.2143921319999995,2.378619779,0.0,0.0,0.0,0.0,3.2827891510000002,1.272565596,4.752209929,6.335798655,0.23111172100000002,0.0
BC03_16,7.552982417000001,0.0,0.0,4.715010652,5.173830661,0.329303747,2.402430428,7.202184537999999,5.175414999,0.0,4.867072805,0.0,0.0,5.6344681229999996,0.0,6.286240151,6.994721655,4.6321041869999995,5.804170649,0.0,0.0
BC03_17,9.038152496,6.216087003999999,0.0,0.0,5.106187868999999,6.987905672999999,6.3123154029999995,6.711399704,1.7457155309999999,5.990989433999999,0.792992516,0.0,0.0,5.018801857,0.0,0.0,2.376764491,6.491982226,5.947747742000001,6.1797681760000005,0.0
BC03_19,8.154068924,0.0,0.0,3.17010566,0.0,1.08180517,1.931521412,7.1525820410000005,5.1573872419999995,4.458756168,0.996948635,0.0,0.0,3.272606147,0.0,4.774490931,6.608553779,5.306781445,4.902530275,0.0,0.0
BC03_20,8.871402899,0.0,0.0,0.0,0.0,5.05560866,6.0276035939999995,6.60378121,5.612470956,6.161650262,2.937573359,0.0,0.0,1.990610328,0.0,3.5504790839999996,8.753338256000001,3.714059753,5.15346499,0.0,0.0
BC03_21,9.222875477999999,0.0,0.0,0.0,4.045854353,7.1440677379999995,7.278532319,7.237317985,3.750209709,6.471604134,4.592186258,0.0,0.0,2.9030685889999996,0.0,4.813321919,5.642545165,0.0,6.110069467000001,0.951657876,0.0
BC03_23,8.443391634,0.0,4.023206534,0.0,5.056627898,1.637053079,1.969905655,6.011830741,0.0,4.838264068,0.703097511,0.0,0.470003629,5.859389237,0.0,0.0,5.221274322,0.576613364,6.393306432999999,0.48242614899999997,0.0
BC03_26,8.335465059,0.0,0.0,0.0,0.0,2.269028309,3.415100287,7.467131038,0.0,6.101215411,0.0,0.0,0.0,0.0,0.0,5.484298883999999,7.602635956,4.28936295,6.722629795,0.0,0.0
BC03_29,9.290487997,0.0,0.0,0.0,0.0,4.450969505,4.547964712,5.293656522,6.894832134,2.345644582,0.0,0.0,0.0,0.0,0.0,0.0,9.252566181,5.653681452000001,5.129602813,5.098829305,0.0
BC03_35,9.707151449,0.0,3.109507288,0.0,2.437115986,1.968509981,4.935983584,7.3133737089999995,6.315376085,5.5338241770000005,6.421297012,0.0,0.0,0.0,0.0,2.056684555,8.079370167,0.576613364,4.455393261,0.506817602,0.0
BC03_37,9.138552169,0.0,0.0,0.0,1.00795792,2.0425181880000003,1.193922468,6.934864481,5.86771374,4.041998082,0.6626879729999999,0.0,0.0,0.0,0.0,0.0,2.9967317739999997,3.4442568710000003,6.054697528999999,0.0,0.0
BC03_41,8.300973117,0.0,0.862889955,0.0,0.0,1.7984040119999998,1.40854497,5.142832464,0.760805829,5.498315108,1.105256831,3.8282065189999996,0.553885113,0.0,0.0,6.8883073889999995,6.020367795,5.109575242,6.153604655,0.488580015,0.0
BC03_43,8.565284064,0.0,2.2027647580000003,0.0,0.0,5.225531597,4.72950946,6.864826901,6.596108329,4.609560534,0.31481074,0.0,0.631271777,0.0,0.0,5.0343518210000004,8.00760347,6.161101831,5.839041541,0.0,0.0
BC03LN_05,6.027941114,0.0,7.343445634,0.0,0.0,8.614875102000001,8.554257736,7.630339895,4.02356438,6.159370192000001,0.75612198,0.0,0.0,4.6965636139999996,0.0,5.900910539,2.0028304390000002,6.620393155,5.480388892000001,0.0,0.0
BC03LN_19,7.58457997,0.0,3.2429829,0.0,6.391414475,8.346044189,8.15868514,6.722473345,0.0,5.093504772,6.653598242999999,0.0,0.0,6.0742419739999995,0.0,0.431782416,0.0,5.439599891,5.700309785,0.0,0.0
BC03LN_23,7.091916809,0.0,5.114634884,0.9593502209999999,1.261297871,2.430098413,4.954911145,6.795202292999999,2.246014742,5.077733038,0.0,0.0,0.0,3.827118498,0.0,6.55518618,7.351767797000001,6.083154546,3.9723652339999997,2.173614712,0.0
BC03LN_25,5.50003297,0.0,4.130837199,0.0,1.075002423,3.273742726,4.776262261,6.14057397,0.0,6.294398467000001,5.8184198270000005,0.0,4.80344711,4.551980357,0.0,3.307252935,0.0,5.580710477,4.984565066,0.0,0.0
BC03LN_28,6.22813618,0.0,0.0,0.0,6.52404677,8.516166665,8.119371796,5.668604246,5.390075792,6.912304914,6.68513659,0.0,0.553885113,3.376221396,0.0,0.0,0.727548607,2.574899688,4.623697491000001,1.050821625,0.0
BC03LN_35,9.694221635,0.0,0.0,0.0,5.020915604,7.00834242,8.070255877000001,5.142306625,3.50134433,5.589866951,5.400648297999999,0.0,0.0,5.880672641,0.0,0.0,0.0,0.0,3.91879999,5.279796917,0.0
BC03LN_47,0.0,0.0,0.0,0.0,5.8884900710000005,7.994257874,8.041686448,1.974081026,0.0,5.458478519,4.960043508,0.0,0.0,0.0,0.0,0.0,0.0,4.674229722,4.782395445,0.0,0.0
BC03LN_57,5.249652195,0.0,0.0,0.0,1.523880024,6.801939104,7.796641926,5.482553756000001,0.0,6.084590525,0.741937345,0.0,0.0,5.075548745,0.0,5.775793011,4.005695481,5.341185267,4.060787779,0.760805829,0.0
