,IGKC,MS4A1,CD74,LRMP,IGJ,FCER1G,CCL4,TRBC2,HLA-DRA,CD83,CD52,IGHG1,CCL3,CD63,RGS2,CD69,RGS1,IFITM2,S100A4,GPR183,group
BC03_66,1.088561953,6.40484822,0.832909123,4.937419232,0.530628251,0.0,0.0,0.963174318,5.62282546,0.559615788,6.280882612,0.3074847,0.940007258,0.0,5.836388438999999,1.363537374,7.01691457,6.871682406000001,7.052781601,0.173953307,1.0
BC03_78,5.954619011,1.05431203,6.669827985,6.342156629,0.0,0.0,1.386294361,8.114471317000001,6.755931889,0.828551818,7.334668718,0.0,0.0,0.0,5.649079866,1.332366019,2.674148649,6.43422544,5.050688994,0.506817602,1.0
BC03_81,5.032462015,7.932685146,9.230164568,6.598168371,7.362416818,0.0,0.0,0.0,8.990194822000001,7.105597432000001,7.373330367,3.799302135,0.0,0.0,1.701105101,2.091864062,2.378619779,1.00063188,0.0,0.0,1.0
BC03_85,6.126257643,3.013572192,7.395218106000001,4.052306551,0.336472237,0.0,0.0,6.645312011000001,3.4556855669999997,1.111857515,5.6918448370000005,0.9593502209999999,0.0,0.0,6.9246517270000005,3.1398326180000002,3.6415257580000002,7.047751976,3.0624559060000003,8.483781175,1.0
BC03_86,8.387487614,7.2014467589999995,8.559762139,3.3596807010000003,0.0,0.0,0.0,0.0,9.313133394,7.480191391,6.547631537999999,4.719837261,0.0,0.0,2.469793012,6.242495602000001,3.393837027,4.690980842,4.686012573999999,0.44468582100000004,1.0
BC03_92,8.113225961,5.901238919,8.559484186,4.0666307239999995,0.0,0.0,0.0,1.990610328,8.549073568999999,6.393925146,7.45977083,0.0,0.0,5.627944802000001,3.2688081939999996,3.727378753,4.389746758,6.68479921,4.065773605,4.086144366,1.0
BC03_93,8.433894188,6.66901574,7.277206261,7.613171881,0.0,0.0,0.0,0.0,8.085933237999999,6.869243115,1.756132292,6.610682586,0.0,0.0,8.369435367000001,7.592169437000001,6.8386516870000005,0.21511138,1.064710737,1.70837786,1.0
BC03_94,2.706715978,3.3250360210000003,6.722786221000001,3.717952702,0.0,0.0,0.0,7.565182012999999,3.718680945,3.3928291319999997,1.1568811970000001,0.75612198,0.0,2.654649424,4.774237627,3.841600541,3.982667845,3.6768068730000003,0.0,6.153838466,1.0
BC03LN_01,8.372380114,7.2141953160000005,8.555376829,7.502440318,5.987782778,0.0,4.8169696360000005,3.044046134,8.805567025,7.290415658,6.8618160470000005,6.6325549839999995,5.020387586,3.864092472,8.199161871,7.179368942999999,7.809224716,2.258633205,0.0,4.2070778319999995,1.0
BC03LN_04,3.3968546319999997,7.766154152,8.53279485,7.679163581,7.175267807000001,0.0,1.05431203,1.16938136,8.740946157,6.926537777999999,4.284138134,6.776529797,4.676280813,3.7013019739999997,6.546426666,6.424317819,7.142471607,3.0777729839999997,0.0,3.920982747,1.0
BC03LN_06,8.139049433,6.748184939,8.55008817,8.049117303,6.620686352000001,0.0,0.0,0.0,8.690231795,6.867620548,4.704925019,6.184932089,0.0,0.0,2.500615943,4.685920336000001,1.01884732,6.735506817999999,0.0,2.385086315,1.0
BC03LN_10,7.476840377,6.965533501,8.52911781,8.220795918,7.035840619,0.0,3.478158423,1.095273387,8.32614406,5.708471464,6.6560707820000005,6.222754824,0.0,0.0,7.132665268999999,6.457209119,6.9500098470000005,0.8919980390000001,1.040276712,0.0,1.0
BC03LN_11,9.318961566,6.896916753999999,8.505932022,7.60712804,4.495690085,0.0,0.0,0.0,8.845758537,7.507547367000001,4.609560534,5.63436094,0.0,0.0,7.872653301000001,8.383888059,7.09537113,3.483391619,0.0,0.0,1.0
BC03LN_13,6.5322760660000005,7.350663881,8.933755168,6.996965071,6.029891676,0.0,0.0,0.0,9.11104697,7.618211785,6.591605143,5.683069432999999,0.0,0.0,6.072353051,6.083815808,7.041114157000001,3.829510584,0.0,2.424802726,1.0
BC03LN_14,8.902854152,7.345790831,8.4875007,7.784926733,6.368204339,0.0,0.0,1.835776355,8.86040552,7.213503177000001,7.615525027,6.28538338,0.0,0.0,6.392821227000001,7.838899155,5.718276921,0.0,0.0,0.0,1.0
BC03LN_17,8.634280874,7.400345646,8.629058306000001,8.190864534,6.77002078,0.0,0.0,0.0,8.773886018999999,7.593676414,6.694190702,7.51743389,5.164385894,0.0,8.097118887,6.120670976,7.681495785,3.596490005,0.0,0.947789399,1.0
BC03LN_20,9.000368443,7.430920456,8.318647126,8.103155443,6.820321995,0.0,5.953996297000001,0.488580015,8.624812754,7.795959245,6.026879952000001,6.779683242999999,4.498475447,0.0,7.94416587,6.763087823999999,7.795099061,0.0,0.0,5.232017295,1.0
